Name,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Josh Maja,105.49092651727659,125.047546058803,,124.09165391064566,93.23908431376184,52.536012311953286,137.23539876712366,96.56093227748276,101.59149066576919,86.75178049633399,,70.15450006108007,105.49092651727659,101.6056849991856,94.64790271942586,113.29403905128964
Jamie Vardy,,74.78873119822738,,67.19131060026965,69.78974827631927,96.85228889790473,,40.69038699558697,71.55390418911198,117.9912114643659,96.11192776802669,78.6960117760573,87.74891908271519,73.30704445373077,54.33632343499699,79.14159448012506
Mohamed Salah,,65.25389817863575,,73.0010283046699,69.7451343086057,59.30770750285619,,50.644489900788145,56.37093707539893,80.11612818927601,66.13949343431636,55.25413687166114,59.31599395843374,88.93418901944824,61.584144233843894,72.4429916860942
Patrick Bamford,,56.39532373990918,56.40320327807763,53.602767325580274,51.284293984342135,38.94406624834747,66.32020683699234,69.41621583315907,29.163716399081814,51.75874781074584,52.54080907943568,50.01988372621336,56.72256243323085,58.55997302113944,56.40320327807763,84.56695752498139
Ollie Watkins,,48.09269772198273,,73.81961068204846,54.6465733836059,60.941432972077514,,64.26369793438941,50.15377203131254,28.259385045666228,81.9446390897626,60.125438758755536,50.91158253182559,66.74952426902438,54.96366480329577,37.7364581487507
Callum Wilson,,49.10254504959691,,52.70482074874122,79.03290631287605,50.095008879822075,46.7465887388343,53.01064498255735,54.727815649476156,47.9282561464883,48.37166177333579,45.00610248682986,46.38382346441718,27.25524641492566,64.8736272783115,61.98022072687462
Dominic Calvert-Lewin,28.684601517812307,50.908431411674535,,55.47658563881658,38.30427530327724,57.59792298138346,,67.75389846829438,49.19813418220278,55.7906982155979,47.366371085075265,52.72215652990949,50.44177212988904,68.27581446757283,55.46883554930763,28.684601517812307
Neal Maupay,,58.08529056953973,,71.30804637590107,41.8501607621306,47.55997321902494,53.03110217895475,44.30314818121498,52.321025792599656,32.83818365208399,58.53272818060453,64.23766436020706,47.55332908176872,43.243637004565606,24.591255288627696,40.60710143474201
Harry Kane,,48.14484897909921,,54.975136406941196,64.66864806219547,45.209489799579266,,59.04162051243272,49.324444617321454,58.25106442712748,,65.16679802608517,71.51832879056191,52.94299937938719,50.32139349602398,46.59343684323023
Mbaye Diagne,,53.185750223837466,,45.42941030945188,57.119874303547256,62.56374768567036,,35.37005352508418,51.22691365122827,45.07686667060824,48.683482030561166,51.21975724169996,43.73796573106742,47.00869366806547,46.57778187965426,69.19047809767407
Kevin De Bruyne,54.01601737673833,41.9226088076477,,44.64455756527551,45.73839265856292,57.73378283766705,,43.20593827627664,66.31870728369417,46.66286002212644,,59.967021234911066,33.90200921906198,54.74909739271908,43.54384948938019,54.01601737673833
Sadio Mane,,48.19231972593735,,53.91385027680512,51.50925700603163,43.80084687608427,,37.40275321137626,41.63193768671672,59.16860406304224,48.846363252849684,40.80714109998736,43.80696671762224,65.68105494723414,45.482076194757305,53.501720428752826
Michail Antonio,,45.04721983433017,,23.160877919821242,60.5012100699571,41.72620691565078,38.24514478700863,44.7873374749302,39.415900203551196,49.9464898844893,30.928114638633794,46.506431744526836,49.27771587091857,39.724169742061925,67.16033555135203,44.79359514864663
Roberto Firmino,,44.58587709469138,,49.879240422815556,47.65459341177476,40.5230374168818,,34.60374115977583,38.516437213848974,54.74075793864365,45.19097567619412,37.75336377282837,40.528699283839074,60.76585356298894,42.07845297265145,49.49795205867765
Alexandre Lacazette,,20.535321772292857,,34.94764733990509,41.234384277709815,39.94059108845398,36.111292004831235,36.44537363756863,48.8786925795826,46.69867066206736,43.69151096586521,44.28447163036012,59.54692674675683,27.422051448713297,48.50505263284548,35.22097092408997
Ilkay Gundogan,46.11442259021028,35.79006732681618,,38.11384278035789,39.04766900793867,49.2883442505359,,36.885668230268024,56.61744500685357,39.8369030304489,,51.19489908735258,28.942740611200364,46.74026587320531,37.17414896683078,46.11442259021028
Bruno Miguel Borges Fernandes,,49.2761816178863,,30.513043009763244,22.850046708912462,40.18172776541986,,39.19105040927946,44.44266235867438,45.8822908745546,59.6892518854447,40.553466810821085,41.9982734832464,38.88691801074561,51.962507220709426,44.1862677577586
Timo Werner,,37.68469566029396,,35.104112618258135,41.45717081354008,50.899457411261864,,56.50175649659569,46.02455277618266,33.41980571373474,34.26459666527732,44.3105473718936,19.485165964850143,32.1755071679225,33.16045962415285,35.81363922284821
Danny Ings,,23.624261719643947,46.21349984465013,37.64049862989829,42.10928668753044,30.343077602595393,,35.52366925745436,51.30003437915136,41.78739363342615,,30.10760769623149,31.3979078806131,40.231184736250036,46.21349984465013,31.11009455117365
Pierre-Emerick Aubameyang,,17.68089171403411,,30.089889758183336,35.502764037169264,34.38880938219757,31.091786662566513,31.379430617581008,42.08450591649379,40.20750920394097,37.61834768288333,38.12888622792634,51.26984497187037,23.610359146918633,41.76280229229201,30.325221093550326
Raheem Sterling,40.347182572508274,31.31402931246874,,33.347184824676425,34.16422329504854,43.12416186677319,,32.27261032021535,49.536658211685335,34.854752795583046,,44.792275913632615,25.32305456724414,40.89475558291259,32.52501259032899,40.347182572508274
Diogo Jota,,36.255454661832005,,40.55980632331946,38.75081221794225,32.951715690312355,,28.13838036837451,31.320028541241072,44.51299821653879,36.747496662957595,30.699527693274923,32.95631969440842,49.41236535868843,34.21651750284032,40.24975785282
