Name,GW24,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Mohamed Salah,43.88465208745848,,54.981520481936094,,56.480700925343534,54.32634330642634,47.39538472143413,35.31069635436717,43.08554839111828,54.030674872136935,61.49621232451679,60.93086078097719,47.90997752103376,48.00681898680991,72.40928842624525,62.29172955647239,54.74547456241132
Sadio Mane,43.544442033407464,,54.55528339983075,,56.042841641957715,53.90518540010776,47.02795816953363,35.036954776301165,42.75153328447581,53.61180909687616,61.019470941739925,60.458502212465376,47.53856165542474,47.63465237034065,71.84794484124441,61.808821029885365,54.32106739557749
Patrick Bamford,42.36020031548362,,46.597480264246265,47.198620993057496,53.12106486350987,43.398653853852835,34.716238430390966,53.41175570002355,55.52984456499742,27.099991996654104,34.932071980365414,47.103409859805026,42.28523362940827,55.25673504060702,61.24304414224528,47.198620993057496,71.19027323485733
Ollie Watkins,43.59616433903774,,44.48346269803931,,62.335334493631045,48.042099641429274,61.76226866988466,57.25138592336369,55.06763187221269,36.015039294945886,27.940148445841118,73.39732064597965,55.73174900795555,48.56371411293175,55.492482217477665,56.96980943233066,35.79251445336573
Dominic Calvert-Lewin,49.23576322107695,24.981181984245346,32.20091162152398,,43.50840179504727,32.00195299486154,56.45476320345378,65.62426923992057,49.61562032211228,38.97916710355484,50.93649304675288,39.048272527196126,48.96780001691817,40.0055346853321,51.1882495318201,42.95426119063567,24.981181984245346
Roberto Firmino,36.10149660307529,,45.23028167011005,,46.46357520465166,44.69130333825637,38.98958380967293,29.04817342402305,35.44411781557944,44.44807313205892,50.58956137811127,50.12447766757022,39.41291108522452,39.49257724825544,59.567150605217044,51.24398977804247,45.03609963706327
Raheem Sterling,48.58092973996965,47.52517534848187,37.24248118867761,,38.15547466085189,41.41264306026292,46.95885033823313,40.967837008708315,37.933214055962814,53.15637414848039,46.70327911973197,,47.32114090895789,30.522019420500495,52.66769302426372,37.17657155238823,47.52517534848187
Jamie Vardy,30.882542437634406,,46.96296116937386,,37.44955880787501,37.38328269733017,49.09250107745358,54.14339323461518,23.958402850155483,38.367628754777236,62.93748150862686,47.58425842649081,41.72708153799793,52.96053872444225,41.642907834678596,30.691729571730043,48.85105200217831
Jack Grealish,35.718437611037174,,36.44540319525473,,51.0714827744646,39.36100261942214,50.60196862837322,46.90619202978749,45.11703731821021,29.507204443756127,22.891427817934513,60.13459344548795,45.66115001342297,39.788362554403676,45.465118182236736,46.67549576372419,29.32488932976869
Michail Antonio,45.87522415532399,,45.64959844452809,,22.388288985732927,49.94896449354655,38.91383998507963,34.99530207513246,38.49587314607824,35.64435671844169,49.48976996583133,28.68034715925974,50.595106108956465,44.65754736017406,34.9333693693086,58.81287383228954,38.992497364985084
Kevin De Bruyne,43.557671508798094,42.61108190615901,33.39161622619916,,34.210206359477844,37.13058421041175,42.10331478651625,36.7317710139076,34.010927455823186,47.66001589824087,41.87416957990613,,42.42814458608636,27.366048834785996,47.221864302643326,33.33252163286545,42.61108190615901
Harry Kane,22.128824134773836,,35.43769234088353,,50.008743673033585,43.95049590280229,34.589730624675525,38.54060117391055,48.91621761458345,38.462855378868376,44.139997141066644,,45.34356190075146,49.370090393960915,38.049732487685255,43.376643888369316,35.2312631716603
Bukayo Saka,43.74064314697783,,19.6055747927043,,31.214002196709764,44.30647369238801,39.97565946783378,31.39689318504032,25.271717790903438,40.17324141574347,38.64090333737922,39.106913680923455,43.33852341986254,51.50282799313644,25.115572327564504,38.93902040844434,30.59138580744579
Diogo Jota,29.8818957470666,,37.43796486712835,,38.45878539514946,36.99184224513689,32.27242048804468,24.043725927567948,29.33777081478857,36.790515974815165,41.87394266812123,41.488984030399195,32.6228165299042,32.688757729085836,49.30486411422856,42.415625508466356,37.27723670310639
Bruno Miguel Borges Fernandes,51.98477984259488,,43.744075548335644,,25.35059818935,19.789039340171456,31.690698230848593,39.303402979911105,30.8776530968723,40.349742673835806,44.72108368121957,44.14995822117137,25.50820482672098,38.790227041601504,31.506095789894758,39.00249619652623,34.0265550711558
Timo Werner,44.06667305797289,,34.71969326757819,,34.64965517594261,39.763966178271026,44.47554897590113,25.69631906274648,52.36814971168106,39.59325205690391,31.105365166852778,31.924406229012614,39.29012618950054,19.93497669807033,31.160511276867428,31.73844240855817,39.07629162257675
Danny Ings,32.61394251611111,,24.298168015173317,42.31707254827546,37.83415113065444,38.86577446465507,29.59576721851222,38.67462296293094,42.864487732814354,49.82663152216342,37.671722065128534,,30.19812011089417,24.449231612432154,37.383307427928266,42.31707254827546,30.375058780853912
Wilfried Zaha,45.199462538375265,,31.20794957415411,,39.41970365262705,40.78136154793169,52.54085803935455,34.76392852783393,39.89510634912153,25.62177207852673,34.83419760264814,31.84311468247891,20.000721554565914,40.98292572374056,39.205163866774285,31.263277554112435,25.781064625022886
Neal Maupay,36.72045873556275,,37.206252640470076,,49.210976801967895,29.82499404117313,32.626511140245974,41.409979873932706,32.560695507619876,37.36667474269478,23.997941381871982,38.38555140376892,41.794205465687035,32.21096669693903,29.999746468073326,18.733136099664154,29.28190524251687
Ademola Lookman,35.63096804538515,40.368374789628675,36.60251721327087,,35.4779976556595,23.025487933068945,17.86296956722052,39.85283704489359,35.01476919817467,30.714746040226068,27.921741423033342,,22.883221170213268,40.368374789628675,31.110988169954286,31.048229716890553,39.48645898539837
Marcus Rashford,45.67710089338159,,38.43629920832798,,22.27463181932592,17.387896019970707,27.84544293262751,34.534444674047535,27.13105028293356,35.453824613961935,39.29476007311416,38.792933281880444,22.413114934931272,34.08353598151871,27.68323960415051,34.270049026979464,29.897873834331257
Anthony Martial,44.751806248195855,,37.65768364073236,,21.82340796442289,17.03566422846801,27.281369496825928,33.834870136557804,26.581448511935417,34.73562592304181,38.49875440794772,38.00709327157514,21.959085786285602,33.39309563579037,27.122451969512657,33.57583043090584,29.292223694101935
Raphael Dias Belloli,25.826967462751472,,28.410432379164078,28.77694721922416,32.38785472209155,26.46011144099743,21.166452323009825,32.565088604850466,33.85648505225822,16.522835263424795,21.298045800638462,28.7188970961773,25.781260356844548,33.689970476130966,37.339816540090006,28.77694721922416,43.404631158672466
Harvey Barnes,22.242140424755306,,33.82353571442406,,26.97181903115656,26.92408583171154,35.35726713473318,38.99500689844445,17.255255509553667,27.633028862568068,45.32866115289141,34.27100472919891,30.052564776932165,38.14309465156739,29.99194142206813,22.104713703271294,35.18337134074066
Jesse Lingard,34.13829296726427,,33.970392390037254,,16.66036477212563,37.16978858825437,28.957941772535612,26.041940867119145,28.646909517911194,26.524938345017734,36.82807652897308,21.342633453095107,37.650618320890025,33.232152279394874,25.995853313442854,43.76591404405033,29.01647508171701
Raul Jimenez,28.07450600164429,,35.9631364547898,,35.632517479462514,31.597271762319238,20.778163510473995,16.119515188091782,25.814223857567573,31.77017939102997,33.03005303353473,36.42835689168409,42.34513024193399,25.151943432507718,32.86760305469462,32.15332861720642,28.017872873902846
Heung-Min Son,17.631789603879938,,28.236020657763337,,39.845933133505014,35.0188465516637,27.560382292106574,30.708354269831794,38.97543095580103,30.646408027572317,35.169837220774816,,36.128812740131934,39.33706740354776,30.31724024832096,34.56161312974206,28.071542163213408
Tomas Soucek,33.53424755618885,,33.36931782385112,,16.365575079591935,36.512103675628296,28.44555786808372,25.581152892413876,28.140029040542856,26.055604178200124,36.17643789410072,20.964995361759694,36.9844255723922,32.644140186822554,25.535880815227067,42.99151681319931,28.5030554846826
Che Adams,27.28938319835178,,20.33124384322565,35.408378120243306,31.657339424043826,32.520539709136536,24.7639558534275,32.36059564297792,35.86642218321113,41.691924869852464,31.521428562929838,,25.267968482159105,20.457644764883053,31.28010056185534,35.408378120243306,25.416020106544988
Ross Barkley,25.641912267785283,,26.163793653953356,,36.66371118886412,28.25687357689501,36.32665163789319,33.673490255689124,32.38907382495524,21.182929551784174,16.43352909732078,43.17002849283819,32.779686934810925,28.56367103760412,32.63895762655537,33.507875693279686,21.052047338825552
Callum Wilson,21.50040559040155,,29.17200890607324,,28.858677393314107,44.08944683652765,32.89885343567819,26.18802366333807,34.22151329431991,37.928944729692894,26.877585306547598,21.634075281424423,26.234451912170968,26.721019874685204,16.783523957901835,34.39065505075672,33.07888362238718
Phil Foden,32.33240668771584,31.62976306745922,24.786249548889007,,25.393880493862085,27.561646609163276,31.25285281385157,27.265611719897084,25.245957835601,35.37753427553333,31.08276070942945,,31.49397059678606,20.313533522641873,35.0522989016252,24.742384246669513,31.62976306745922
Ashley Barnes,28.495984781038732,28.277819572183162,37.69031134523871,,29.25460815034634,22.42678762125496,28.618850844109133,22.842735184983212,24.988395738074342,31.715587368429954,24.937988047630732,24.670133422147376,22.976576734292614,28.277819572183162,32.0098628151114,18.49410894281561,29.39920069842753
Alexandre Lacazette,34.93299891218703,,15.657783553959042,,24.928730497141867,35.38489345248625,31.926134785246813,25.074794437604105,20.182988328092833,32.08393150415203,30.860146013739104,31.232320212673425,34.61185027377571,41.13218519017362,20.058284416386893,31.0982340382848,24.43148454728731
Riyad Mahrez,31.741883029167166,31.05207259158382,24.33354997391826,,24.930083061186572,27.058256788898138,30.682046280271425,26.76762872280957,24.78486208332257,34.731393975103536,30.515060762153368,,30.918760253842294,19.942524267138506,34.41209874616342,24.290485833795987,31.05207259158382
Mahmoud Ahmed Ibrahim Hassan,24.37663940709392,,24.872769111892733,,34.85457939498552,26.862568234475237,34.53415168870022,32.01190773016095,30.7908694607226,20.137680445870885,15.62263410029107,41.03984939867273,31.162208182546333,27.154227101123563,31.028423012176443,31.85446524200883,20.0132564763644
Richarlison de Andrade,30.346309289419608,15.397073698345006,19.846931570458935,,26.816267915506558,19.72430404068172,34.795717441007724,40.44731392310923,30.58043303036866,24.024688222200204,31.394548819615594,24.067281134794623,30.18115100325527,24.657286684041726,31.549718144952596,26.474725080153462,15.397073698345006
Anwar El Ghazi,23.73240034878712,,24.215418068439835,,33.93342365107397,26.15262969971379,33.62146438214401,31.16587965605811,29.9771116488049,19.605470895970594,15.209750646056017,39.95522598163357,30.338636429319276,26.436580447516917,30.208387006052796,31.01259814344534,19.484335270669686
Pierre-Emerick Aubameyang,33.16147471098567,,14.863745155688743,,23.66454331722281,33.59045274999787,30.307094846389745,23.803200054939527,19.159467491371675,30.45688936923062,29.295164557283787,29.648465037356118,32.85661218034765,39.0462875065577,19.041087571434286,29.521178648567723,23.192513731881675
Chris Wood,26.89304014797258,26.68714708037986,35.57017116571268,,27.608989741739737,21.165245016897398,27.0089947988599,21.55779486617436,23.58275858796146,29.931534950259334,23.535186410572855,23.282399035358605,21.68410761467918,26.68714708037986,30.209256933302804,17.45378579199217,27.745448728173244
Rodrigo Moreno,22.477066428660393,,24.725441605733288,25.0444174366744,28.186970193855593,23.028088118623238,18.421045971019314,28.341215858273106,29.465111018476627,14.379731818744707,18.53557104418182,24.993896736797502,22.4372877880897,29.320194307122474,32.49663507789085,25.0444174366744,37.77480957731642
Bernardo Fernandes da Silva Junior,27.701832941060882,,28.068314789624917,,37.124652174192,22.499909610240127,24.613367920195305,31.239597326963978,24.56371675235321,28.189336869111592,18.103993958173554,28.957975171151293,31.529456264487287,24.299882110255613,22.63174245500102,14.132236485174191,22.090204620417467
Pedro Lomba Neto,23.670567261709447,,30.321738888131428,,30.042982827632144,26.64073043681285,17.518773684590055,13.59090943447148,21.764846800637926,26.786514717227984,27.848756873667607,30.7139820015947,35.70261409190387,21.206455734145973,27.711789792196154,27.109560812106743,23.62281795280384
Danny Welbeck,27.114602236989448,,27.47331530742174,,36.33767408212705,22.022950638244428,24.09160730586709,30.577372167630582,24.04300865647429,27.591771929196778,17.720220756552475,28.34411643536227,30.861086599542098,23.784766850163663,22.151988855862296,13.832657637848465,21.62193068201312
Ilkay Gundogan,27.796634805151005,27.192561984371387,21.309095037505234,,21.831484095544102,23.695143786330487,26.86852682129059,23.440638336550837,21.704312859860842,30.414574765859605,26.722296194058696,,27.075819245327924,17.463836774810748,30.13496523967869,21.271383406626978,27.192561984371387
Ivan Ricardo Neves Abreu Cavaleiro,27.006941028643425,30.597718141617584,27.743338957829515,,26.890995194974604,17.452458602080394,13.539462780912555,30.20695981441284,26.53988535091572,23.280628636346613,21.16363560676704,,17.344625717217845,30.597718141617584,23.580965349539564,23.533396789550338,29.92925894941325
Christian Pulisic,29.91789064925535,,23.572008378952365,,23.524457887357983,26.99668273883815,30.195486032632672,17.44582947744296,35.553956490355915,26.880780945920268,21.118156853883143,21.674222906401138,26.674981734756678,13.534319964742924,21.155596832321717,21.547967737608282,26.529804467077756
Olivier Giroud,29.902105088972935,,23.559571093061926,,23.51204569050742,26.98243849388802,30.179554004849926,17.436624543976176,35.53519717573588,26.86659785416975,21.10701429233097,21.66278694802176,26.660907228731404,13.527178858901284,21.144434516334194,21.536598395174575,26.515806560854838
Aleksandar Mitrovic,26.655140947727823,30.199143578632558,27.38194634843025,,26.54070545740456,17.225117921702108,13.363093894972195,29.813475380331468,26.19416926985195,22.97736855852638,20.887952081149223,,17.11868969861076,30.199143578632558,23.273793000429844,23.22684408200741,29.53939192563664
Tammy Abraham,29.57695568606629,,23.303389113537328,,23.256380492534408,26.689036951115426,29.85138767891843,17.2470222386431,35.148794676330546,26.574455938929223,20.877500916136455,21.427230213120158,26.371001951474916,13.380087070015655,20.914514240242326,21.302413808905648,26.227479078719497
Daniel James,34.35639344830695,,28.91016707431851,,16.75404085927493,13.078443798234199,20.9441705893017,25.975356262426043,20.40683449595475,26.66687517072779,29.555865217451792,29.178412219224725,16.85820203221781,25.63620171568845,20.82216807025417,25.77648898103064,22.487922758446356
Gabriel Fernando de Jesus,26.437277171362023,25.862745732337686,20.26700194920809,,20.76384426179267,22.536364142123084,25.55455708001755,22.294304944503956,20.642892167067885,28.927190243372173,25.415477668060987,,25.751712142427586,16.60979095230404,28.66125465098067,20.231134555723184,25.862745732337686
Jimmy Dunne,23.059573088383125,22.8830290377878,30.49982290023411,,23.673467683201423,18.14824622709963,23.158998989373185,18.484840077792196,20.221155447380273,25.66494580141519,20.180364443632456,19.96361063214443,18.593147581894186,22.8830290377878,25.903079918309533,14.96583677133165,23.790475130255242
James Maddison,16.16327344456866,,24.579426537829917,,19.60031174934912,19.56562422646327,25.69398295477402,28.33751372106684,12.53932435595996,20.08081025827169,32.940154638846586,24.904600460197916,21.839077216666347,27.7184325384966,21.795022469997097,16.06340600215901,25.56761358494336
Oliver McBurnie,19.340957752863392,,23.803376804709476,,15.567757715882484,21.034443549660793,19.228294157206545,23.673828104717796,26.94489312056707,18.87816261452692,20.766540368179246,18.844753110325748,24.62560662781176,23.987021397914802,24.090446175356018,26.697181329215834,27.29345323476564
Bertrand Traore,19.01625677170854,,19.40328837606417,,27.19011510881446,20.955533966903808,26.9401489244799,24.972542235326703,24.020008259172258,15.709437865904249,12.187242734333983,32.01525448213733,24.30969021104226,21.183057531793395,24.205324178074637,24.849721089578196,15.612374521233285
Jarrod Bowen,24.595673790785906,,24.47470617735777,,12.003321242911607,26.77978057853791,20.86337738599983,18.7624812717145,20.639287450381477,19.110467283187234,26.53358671206311,15.376763294872752,27.126204790907224,23.94282507369377,18.729276493809397,31.532102264611286,20.905548978466435
Daniel Castelo Podence,20.211916060441087,,25.891244364258004,,25.65321905485763,22.748090547400455,14.95899862812273,11.605058621428075,18.584652059203925,22.872573395914568,23.779604860958937,26.226174439948682,30.485887016793367,18.107850923005874,23.662650876580926,23.14841725217504,20.171143694790796
Andi Zeqiri,23.38797922802546,,23.697390878868223,,31.343434773613254,18.996122737306276,20.780463836961918,26.374827071169705,20.738544571741855,23.79956685715778,15.284758793359694,24.448509354219883,26.619547874456487,20.515795443836105,19.10742597999781,11.931501213801617,18.650218846687267
Christian Benteke,27.5145514381851,,18.997410270295127,,23.996202674033114,24.825093198334404,31.983525023175346,21.16206357233512,24.285597529899896,15.59690151610859,21.204838905600372,19.384058298021237,12.175164285342909,24.947792619343662,23.865604528792527,19.031090417470367,15.693868663905242
