,Team,Threat adjusted color,Threat adjusted,Threat color,Threat,Creativity adjusted color,Creativity adjusted,Creativity color,Creativity,Threat allowed adjusted color,Threat allowed adjusted,Threat allowed color,Threat allowed
1,1,green,1,green,1,green,1,green,1,green,1,green,1
2,1,light green,1,light green,1,light green,1,light green,1,light green,1,light green,1
3,1,pink,1,pink,1,pink,1,pink,1,pink,1,pink,1
4,1,red,1,red,1,red,1,red,1,red,1,red,1
5,1,white,1,white,1,white,1,white,1,white,1,white,1
6,1,green,1,green,1,green,1,green,1,green,1,green,1
7,1,light green,1,light green,1,light green,1,light green,1,light green,1,light green,1
8,1,pink,1,pink,1,pink,1,pink,1,pink,1,pink,1
9,1,red,1,red,1,red,1,red,1,red,1,red,1
10,1,white,1,white,1,white,1,white,1,white,1,white,1
11,1,green,1,green,1,green,1,green,1,green,1,green,1
12,1,light green,1,light green,1,light green,1,light green,1,light green,1,light green,1
13,1,pink,1,pink,1,pink,1,pink,1,pink,1,pink,1
14,1,red,1,red,1,red,1,red,1,red,1,red,1
15,1,white,1,white,1,white,1,white,1,white,1,white,1
16,1,green,1,green,1,green,1,green,1,green,1,green,1
17,1,light green,1,light green,1,light green,1,light green,1,light green,1,light green,1
18,1,pink,1,pink,1,pink,1,pink,1,pink,1,pink,1
19,1,red,1,red,1,red,1,red,1,red,1,red,1
20,1,white,1,white,1,white,1,white,1,white,1,white,1
