,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
11,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
12,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
13,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
