,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,1.0,,1.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,0.0,,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
2,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,,1.0,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,,,,,,,,,,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
6,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,0.0,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,0.0,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
