,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
0,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
1,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
2,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
6,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
7,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
8,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
9,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
10,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
11,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
12,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
13,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
14,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
15,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
16,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
17,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
18,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
19,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
20,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
21,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
22,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
23,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
24,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0
25,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
26,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
27,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
28,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
29,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
30,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,,,,
31,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,
32,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,0,1,0,1,1,,,,,,,,,,,,,,,,,,,
33,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,1,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
38,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
39,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
40,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
41,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
42,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
43,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
44,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
45,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
46,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
47,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
48,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
49,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
50,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
51,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
52,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
53,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1
54,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
55,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
56,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
57,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
58,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
59,0,1,0,1,1,0,1,0,1,1,,,,,,,,,,0,,0,1,0,,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
